epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1312,0.4428,0.85378,2.11722,1.03792,0.00333,1,0.90813,0.33337,0.00333,1,0.94185,0.53599,1.80493,0.38471,3.63538,2.14742,0.00065,0.00065,0.00065
2,64.8112,0.61889,0.53579,1.42751,1.11237,0.95837,0.9,0.96965,0.76885,0.95837,0.9,0.96965,0.87584,0.66353,0.6632,2.27363,1.58046,0.0012906,0.0012906,0.0012906
3,96.1098,0.66595,0.44611,1.10952,1.1523,0.52516,0.85,0.68858,0.3858,0.62769,0.9277,0.88265,0.58739,0.96455,0.41492,4.07898,2.24844,0.00190479,0.00190479,0.00190479
4,127.797,0.68844,0.4554,1.03684,1.17429,0.50216,0.85,0.65455,0.22615,0.70367,0.75,0.79076,0.36181,1.3638,0.44694,3.70424,2.83028,0.0018812,0.0018812,0.0018812
5,158.848,0.68438,0.47576,1.06874,1.20256,0.03094,0.9,0.0291,0.01141,0.03266,0.95,0.03453,0.01817,1.89246,0.29136,20.2944,2.79314,0.0018416,0.0018416,0.0018416
6,189.494,0.65014,0.46074,0.99385,1.13366,0.15027,1,0.20053,0.11179,0.15027,1,0.20053,0.16722,0.96618,0.30386,9.75785,1.77489,0.001802,0.001802,0.001802
7,220.843,0.61717,0.41388,0.86033,1.1069,0.95168,0.98531,0.99262,0.77036,0.95168,0.98531,0.99262,0.93608,0.73123,0.30452,1.69596,1.56703,0.0017624,0.0017624,0.0017624
8,253.516,0.57449,0.43149,0.80507,1.06554,0.9624,1,0.995,0.70531,0.9624,1,0.995,0.85419,0.72087,0.28642,1.66708,1.52984,0.0017228,0.0017228,0.0017228
9,289.851,0.55931,0.40982,0.76868,1.07281,0.94392,1,0.99024,0.829,0.94392,1,0.99024,0.96008,0.63704,0.27847,1.18696,1.44023,0.0016832,0.0016832,0.0016832
10,324.64,0.53131,0.48946,0.76774,1.0511,0.99731,1,0.995,0.81453,0.99731,1,0.995,0.96322,0.72327,0.34674,1.1008,1.58729,0.0016436,0.0016436,0.0016436
11,359.037,0.55232,0.45563,0.77872,1.08603,0.9885,1,0.995,0.79711,0.9885,1,0.995,0.95085,0.64328,0.53106,1.11999,1.37658,0.001604,0.001604,0.001604
12,393.199,0.5316,0.43333,0.75311,1.08368,0.99591,1,0.995,0.85908,0.99591,1,0.995,0.97968,0.60746,0.30099,0.9782,1.3365,0.0015644,0.0015644,0.0015644
13,428.67,0.48345,0.39762,0.65606,1.00886,0.99706,1,0.995,0.85186,0.99706,1,0.995,0.97484,0.53312,0.28026,0.94017,1.28022,0.0015248,0.0015248,0.0015248
14,463.395,0.4956,0.39259,0.65543,1.05375,0.95029,1,0.995,0.84318,0.95029,1,0.995,0.995,0.58381,0.27727,0.90348,1.20165,0.0014852,0.0014852,0.0014852
15,497.094,0.47499,0.42244,0.60427,1.04506,0.99691,1,0.995,0.88549,0.99691,1,0.995,0.98976,0.48942,0.31227,0.81977,1.19226,0.0014456,0.0014456,0.0014456
16,531.737,0.45839,0.41045,0.57718,1.02108,0.99521,1,0.995,0.88454,0.99521,1,0.995,0.995,0.49744,0.26741,0.85678,1.19348,0.001406,0.001406,0.001406
17,566.414,0.46157,0.3843,0.55567,0.9901,0.99598,1,0.995,0.89715,0.99598,1,0.995,0.98876,0.48589,0.28927,0.75571,1.21021,0.0013664,0.0013664,0.0013664
18,601.861,0.46271,0.40748,0.55852,1.01489,0.99655,1,0.995,0.88566,0.99655,1,0.995,0.995,0.52035,0.27595,0.76096,1.25063,0.0013268,0.0013268,0.0013268
19,638.41,0.4371,0.43861,0.51953,1.00515,0.9884,1,0.995,0.88687,0.9884,1,0.995,0.98165,0.49895,0.32236,0.77388,1.20837,0.0012872,0.0012872,0.0012872
20,673.796,0.48273,0.41967,0.5603,1.02227,0.99705,1,0.995,0.87773,0.99705,1,0.995,0.995,0.58624,0.27786,0.83956,1.24029,0.0012476,0.0012476,0.0012476
21,708.793,0.45774,0.44973,0.52476,1.02148,0.99719,1,0.995,0.91565,0.99719,1,0.995,0.98901,0.48067,0.27828,0.66166,1.19037,0.001208,0.001208,0.001208
22,744.277,0.42381,0.40722,0.47349,0.98373,0.9972,1,0.995,0.90369,0.9972,1,0.995,0.98196,0.47206,0.28308,0.66805,1.17791,0.0011684,0.0011684,0.0011684
23,780.022,0.42048,0.42258,0.46199,1.003,0.99745,1,0.995,0.91269,0.99745,1,0.995,0.99001,0.43993,0.25469,0.56746,1.10826,0.0011288,0.0011288,0.0011288
24,815.19,0.42881,0.41269,0.47632,0.99473,0.99729,1,0.995,0.90817,0.99729,1,0.995,0.98651,0.38371,0.27376,0.55287,1.05251,0.0010892,0.0010892,0.0010892
25,850.573,0.40468,0.4028,0.4748,0.9859,0.99716,1,0.995,0.88294,0.99716,1,0.995,0.97853,0.4841,0.28754,0.66422,1.12129,0.0010496,0.0010496,0.0010496
26,886.001,0.41723,0.40066,0.4678,0.99675,0.99716,1,0.995,0.86955,0.99716,1,0.995,0.95256,0.53436,0.27128,0.6726,1.18916,0.00101,0.00101,0.00101
27,919.816,0.4147,0.39366,0.45391,0.99019,0.9972,1,0.995,0.90342,0.9972,1,0.995,0.995,0.46441,0.29275,0.5893,1.16063,0.0009704,0.0009704,0.0009704
28,952.496,0.41222,0.37815,0.46555,0.9874,0.99731,1,0.995,0.89871,0.99731,1,0.995,0.995,0.47396,0.26247,0.59018,1.21078,0.0009308,0.0009308,0.0009308
29,986.921,0.41909,0.38476,0.45921,0.97482,0.99635,1,0.995,0.9034,0.99635,1,0.995,0.995,0.41709,0.27984,0.54863,1.09383,0.0008912,0.0008912,0.0008912
30,1021.08,0.37466,0.36376,0.41717,0.98634,0.99224,1,0.995,0.91731,0.99224,1,0.995,0.98626,0.4306,0.26599,0.58876,1.0969,0.0008516,0.0008516,0.0008516
31,1054.04,0.39599,0.40995,0.41443,0.99084,0.98856,1,0.995,0.90898,0.98856,1,0.995,0.995,0.41199,0.25986,0.64782,1.06009,0.000812,0.000812,0.000812
32,1087.4,0.3863,0.3718,0.40032,0.978,0.99335,1,0.995,0.93159,0.99335,1,0.995,0.95631,0.36866,0.43507,0.5327,1.0113,0.0007724,0.0007724,0.0007724
33,1121.47,0.35409,0.36555,0.39531,0.93914,0.99691,1,0.995,0.91636,0.99691,1,0.995,0.995,0.40729,0.25737,0.52159,1.03257,0.0007328,0.0007328,0.0007328
34,1154.48,0.38574,0.3796,0.41082,0.98919,0.99728,1,0.995,0.95495,0.99728,1,0.995,0.995,0.34568,0.25278,0.47423,0.99828,0.0006932,0.0006932,0.0006932
35,1187.01,0.35909,0.34763,0.38949,0.96915,0.9974,1,0.995,0.92454,0.9974,1,0.995,0.995,0.3489,0.27387,0.49022,1.00323,0.0006536,0.0006536,0.0006536
36,1218.73,0.361,0.3857,0.38601,0.95105,0.99744,1,0.995,0.93765,0.99744,1,0.995,0.995,0.34383,0.26967,0.46872,0.98819,0.000614,0.000614,0.000614
37,1251.58,0.33869,0.34211,0.35718,0.93163,0.99732,1,0.995,0.96242,0.99732,1,0.995,0.995,0.29136,0.25199,0.42637,0.93358,0.0005744,0.0005744,0.0005744
38,1283.81,0.35284,0.3656,0.37239,0.96681,0.99736,1,0.995,0.97289,0.99736,1,0.995,0.995,0.27157,0.24916,0.40617,0.92105,0.0005348,0.0005348,0.0005348
39,1316.82,0.33055,0.34219,0.35285,0.95864,0.99743,1,0.995,0.97413,0.99743,1,0.995,0.995,0.27656,0.25273,0.4051,0.92936,0.0004952,0.0004952,0.0004952
40,1349.19,0.31287,0.35721,0.34619,0.94751,0.99748,1,0.995,0.93829,0.99748,1,0.995,0.995,0.31902,0.25204,0.40972,0.98444,0.0004556,0.0004556,0.0004556
41,1378.03,0.2914,0.25364,0.56781,1.00627,0.9971,1,0.995,0.95142,0.9971,1,0.995,0.995,0.30487,0.2498,0.47664,0.94469,0.000416,0.000416,0.000416
42,1406.51,0.27791,0.26566,0.50157,0.98115,0.99732,1,0.995,0.95608,0.99732,1,0.995,0.995,0.27158,0.2523,0.49409,0.91211,0.0003764,0.0003764,0.0003764
43,1435.19,0.26325,0.25241,0.49959,0.97904,0.99725,1,0.995,0.95579,0.99725,1,0.995,0.995,0.25618,0.26275,0.50465,0.89245,0.0003368,0.0003368,0.0003368
44,1463.56,0.25503,0.24591,0.44126,0.96805,0.99732,1,0.995,0.97652,0.99732,1,0.995,0.995,0.22757,0.26341,0.44905,0.87845,0.0002972,0.0002972,0.0002972
45,1493.07,0.22576,0.24463,0.41622,0.95183,0.9973,1,0.995,0.99001,0.9973,1,0.995,0.995,0.23438,0.257,0.41299,0.87813,0.0002576,0.0002576,0.0002576
46,1522.28,0.22256,0.24134,0.39364,0.92927,0.99737,1,0.995,0.96346,0.99737,1,0.995,0.995,0.25344,0.25302,0.4074,0.89821,0.000218,0.000218,0.000218
47,1551.2,0.21479,0.23993,0.38919,0.95803,0.99742,1,0.995,0.97853,0.99742,1,0.995,0.995,0.24602,0.25196,0.39924,0.89423,0.0001784,0.0001784,0.0001784
48,1582.03,0.21161,0.33438,0.37837,0.93648,0.99746,1,0.995,0.98153,0.99746,1,0.995,0.995,0.2417,0.25302,0.40633,0.89393,0.0001388,0.0001388,0.0001388
49,1619.97,0.20684,0.24091,0.36638,0.9121,0.99744,1,0.995,0.98701,0.99744,1,0.995,0.995,0.23053,0.25232,0.37657,0.88251,9.92e-05,9.92e-05,9.92e-05
50,1654.95,0.19084,0.234,0.35995,0.88862,0.99749,1,0.995,0.98153,0.99749,1,0.995,0.995,0.22463,0.25228,0.37782,0.87359,5.96e-05,5.96e-05,5.96e-05
